,name,author,numberOfPages,price
5024,Тихий Дон Том 1,Михаил Шолохов,704,
5025,О дивный новый мир,Олдос Леонард Хаксли,288,
5026,Портрет Дориана Грея,Оскар Уайльд,256,
5027,Чрево Парижа,Эмиль Золя,448,
5028,Обломов,Иван Гончаров,624,
5029,Моя семья и другие звери,Джеральд Даррелл,352,
5030,Гордость и предубеждение,Джейн Остен,416,
5031,Королек - птичка певчая,Решад Нури Гюнтекин,448,
5032,Вокруг света в восемьдесят дней,Жюль Габриэль Верн,256,
5033,,,416,
5034,Ворота Расемон,Рюноскэ Акутагава,576,
5035,Унесенные ветром. Том 1. Том 2 (комплект из 2 книг),Маргарет Митчелл,,
5036,О дивный новый мир,Олдос Леонард Хаксли,352,
5037,Страх и отвращение в Лас-Вегасе,Хантер Стоктон Томпсон,318,
5038,Тэсс из рода дЭрбервиллей,Томас Гарди,448,
5039,Возраст зрелости,Жан Сартр,416,
5040,Горе от ума,Александр Грибоедов,320,
5041,Эмма,Джейн Остен,480,
5042,Ася. Первая любовь. Повести,Иван Тургенев,144,
5043,"Лето, прощай",Рэй Брэдбери,224,
5044,Господа офицеры: роман,Борис Васильев,928,
5045,Таинственная история Билли Миллигана,Дэниел Киз,608,
5046,Игра в бисер,Герман Гессе,512,
5047,Малое собрание сочинений.,Антон Чехов,800,
5048,Скотный двор,Джордж Оруэлл,96,
5049,"Дживс и феодальная верность. Дживс готовит омлет. На помощь, Дживс! Держим удар, Дживс!",,608,
5050,Огнем и мечом,Генрик Сенкевич,896,
5051,"Тонкие письма: Рассказы, воспоминания",Надежда Тэффи,288,
5052,Мистические истории. День Всех Душ,Элизабет Гаскелл,352,
5053,Отцы и дети: Романы.,Иван Тургенев,416,
5054,Басни,Иван Крылов,384,
5055,Семья вурдалака: сборник,Алексей Толстой,320,
5056,Колеса,Артур Хейли,608,
5057,Живые и мертвые (в 3-х книгах) (комплект),Константин Симонов,2066,
5058,Гроза,Александр Островский,256,
5059,Взрослая жизнь. Роман,Луиза Мэй Олкотт,384,
5060,Баудолино,Умберто Эко,624,
5061,Заводной апельсин: роман,Энтони Бёрджесс,224,
5062,Войны Миллигана,Дэниел Киз,416,
5063,Великий Гэтсби (илл. Адама Симпсона),Френсис Скотт Фицджеральд,208,
5064,Моя кузина Рейчел,Дафна дю Морье,416,
5065,Хлеб по водам: роман,Ирвин Шоу,672,
5066,Жизнь и судьба,Василий Гроссман,864,
5067,Мертвые души. Ревизор. Проза,Николай Гоголь,1088,
5068,Американская трагедия (комплект из 2-х книг),Теодор Драйзер,,
5069,Бойня №5,Курт Воннегут,224,
5070,Дети капитана Гранта,Жюль Габриэль Верн,704,
5071,"Царь-рыба: повести, рассказы",Виктор Астафьев,912,
5072,Муму : избранные произведения,Иван Тургенев,352,
5073,"Трамвай ""Желание""",Теннесси Уильямс,288,
5074,Грозовой перевал: Роман,Эмили Джейн Бронте,416,
5075,Фактотум,Чарльз Буковски,288,
5076,Обстрел,Владимир Маканин,256,
5077,Библия ядоносного дерева,Барбара Кингсолвер,704,
5078,Королек - птичка певчая,Решад Нури Гюнтекин,448,
5079,Когда опускается ночь,Уильям Уилки Коллинз,480,
5080,Бесы,Федор Достоевский,800,
5081,Монт-Ориоль,Ги де Мопассан,352,
5082,Гроза и другие пьесы,Александр Островский,352,
5083,Детство Тёмы,Николай Гарин-Михайловский,224,
5084,Торговый дом Гердлстон: роман,Артур Дойл,480,
5085,"Манон, танцовщица. Южный почтовый",Антуан де Сент-Экзюпери,416,
5086,Степной волк,Герман Гессе,288,
5087,Республика Шкид. Дом веселых нищих,Григорий Белых,736,
5088,Античная трагедия,Еврипид,736,
5089,Зима тревоги нашей. Путешествие с Чарли в поисках Америки,Джон Стейнбек,640,
5090,Летняя книга,Туве Янссон,384,
5091,Алеф,Хорхе Борхес,256,
5092,Большая книга Хармса,Даниил Хармс,752,
5093,Капитанская дочка,Александр Пушкин,224,
5094,Братья и сестры: Книга 1. Братья и сестры. Книга 2. Две зимы и три лета,Федор Абрамов,512,
5095,О дивный новый мир: роман,Олдос Леонард Хаксли,352,
5096,Перелетные свиньи. Рад служить. Беззаконие в Бландинге. Полная луна. Как стать хорошим дельцом,,416,
5097,Фауст,Иоганн Вольфганг фон Гёте,544,
5098,Мальчик со шпагой,Владислав Крапивин,448,
5099,Говардс-Энд,Эдвард Форстер,448,
5100,Плаха,Чингиз Айтматов,416,
5101,Декамерон,Джованни Боккаччо,640,
5102,Собор Парижской Богоматери,Виктор Мари Гюго,880,
5103,Сотников,Василь Быков,288,
5104,Приключения Тома Сойера и Гекльберри Финна (комплект из 2 книг),Марк Твен,,
5105,Горе от ума. Недоросль,Александр Грибоедов,320,
5106,Капитан Михалис,Никос Казандзакис,656,
5107,Тропик Рака. Черная весна,Генри Миллер,576,
5108,Двери восприятия. Рай и ад,Олдос Леонард Хаксли,224,
5109,Солнце мертвых,Иван Шмелев,320,
5110,Зубр. Эта странная жизнь. Как работать гением,Даниил Гранин,544,
5111,Любовь к жизни: рассказы,Джек Лондон,416,
5112,Гордость и предубеждение,Джейн Остен,256,
5113,Завтрак для чемпионов,Курт Воннегут,288,
5114,Сад расходящихся тропок,Хорхе Борхес,256,
5115,Финансист. Титан. Стоик (комплект из 3 книг),Теодор Драйзер,,
5116,Американская трагедия,Теодор Драйзер,960,
5117,"Дживс, вы – гений! Ваша взяла, Дживс! Фамильная честь Вустеров",,672,
5118,Последний из могикан,Джеймс Купер,448,
5119,Эликсиры  сатаны: Роман,Эрнст Гофман,448,
5120,Египтянин,М. Валтари,864,
5121,Бедная Лиза. Ася. Первая любовь. Олеся. Гранатовый браслет. Повести,Иван Тургенев,240,
5122,,,320,
5123,Беседа пьяного с трезвым чертом : Рассказы,Антон Чехов,272,
5124,Синяя птица и другие пьесы,Морис Метерлинк,320,
5125,Морис. Куда боятся ступить ангелы,Эдвард Форстер,384,
5126,Собор Парижской Богоматери,Виктор Мари Гюго,592,
5127,Город за рекой,Герман Казак,416,
5128,Повесть о настоящем человеке,Борис Полевой,384,
5129,И всех их создал Бог,Джеймс Хэрриот,480,
5130,Тайнопись плоти,Джанет Уинтерсон,224,
5131,Когда мир был юным,Джек Лондон,256,
5132,Севастопольские рассказы,Лев Толстой,320,
5133,Дьявол и Дэниел Уэбстер: рассказы,Стивент Винсент Бене,336,
5134,,,320,
5135,Одесские рассказы. Конармия,Исаак Бабель,320,
5136,Обыкновенная история: Роман.,Иван Гончаров,416,
5137,Сердца трех: роман,Джек Лондон,384,
5138,Мартин Иден,Джек Лондон,416,
5139,Тарантул,Герман Матвеев,576,
5140,История одного города,Михаил Салтыков-Щедрин,288,
5141,Голый завтрак,Уильям Сьюард Берроуз,384,
5142,Возвращение на родину,Томас Гарди,512,
5143,"Маленькие женщины. Истории их жизней: Маленькие женщины, Хорошие жены (комплект из 2 книг)",Луиза Мэй Олкотт,736,
5144,Крушение столпов: роман,Морис Дрюон,384,
5145,Умеющая слушать,Туве Янссон,640,
5146,Мори Огай. Избранные произведения,Мори Огай,336,
5147,Роман с кокаином,Михаил Агеев,224,
5148,,,,
5149,Сын полка. Белеет парус одинокий: сборник,Валентин Катаев,544,
5150,Москва и москвичи,Владимир Гиляровский,416,
5151,"На выручку юному Гасси. Этот неподражаемый Дживс. Вперед, Дживс! Посоветуйтесь с Дживсом",Пелам Вудхауз,704,
5152,Воскресение: Роман,Лев Толстой,640,
5153,Жизнь и приключения Николаса Никльби,Чарльз Диккенс,928,
5154,Юные годы. Путь Шеннона,Арчибальд Кронин,704,
5155,Ревизор,Николай Гоголь,160,
5156,Малое собрание сочинений,Антуан де Сент-Экзюпери,544,
5157,Записки из Мертвого дома: роман,Федор Достоевский,416,
5158,,,,
5159,Спаси меня,Гийом Мюссо,480,
5160,Малое собрание сочинений,Чингиз Айтматов,640,
5161,Дороги свободы,Жан Сартр,976,
5162,Фунты лиха в Париже и Лондоне,Джордж Оруэлл,320,
5163,Левша,Николай Лесков,352,
5164,Вся королевская рать: роман,Роберт Уоррен,640,
5165,Гамлет. Король Лир,Уильям Шекспир,416,
5166,Ким,Редьярд Киплинг,384,
5167,Малое собрание сочинений,Оскар Уайльд,928,
5168,Коллекционер,Джон Роберт Фаулз,400,
5169,Воспоминания двух юных жен: Роман,Оноре де Бальзак,288,
5170,Хроника семьи Уайток. Книга первая. Штормовые времена,Мазо де ля Рош,352,
5171,"Богач, бедняк",Ирвин Шоу,736,
5172,Золотой том. Собрание сочинений,Александр Пушкин,1376,
5173,"Сказки, рассказанные на ночь",Вильгельм Гауф,448,
5174,"Дживс и скользкий тип. Тысяча благодарностей, Дживс. Тетки - не джентльмены",,416,
5175,Над пропастью во ржи,Джером Сэлинджер,320,
5176,Дьявол и Господь Бог,Жан Сартр,640,
5177,Тихий Дон. Книги I-II,Михаил Шолохов,720,
5178,Малое собрание сочинений,Анатолий Мариенгоф,608,
5179,Такая большая любовь,Морис Дрюон,352,
5180,Малое собрание сочинений. Трумен Капоте,Трумэн Капоте,544,
5181,Изгнание и царство,Альбер Камю,224,
5182,Утраченные иллюзии: Роман,Оноре де Бальзак,704,
5183,Из замка в замок,Луи-Фердинанд Селин,544,
5184,Контрапункт,Олдос Леонард Хаксли,616,
5185,,,,
5186,Циники. Бритый человек,Анатолий Мариенгоф,288,
5187,Охота жить: рассказы,Василий Шукшин,352,
5188,Красное и чёрное,Фредерик Стендаль,544,
5189,Эпоха невинности,Эдит Уортон,384,
5190,Батальоны просят огня,Юрий Бондарев,480,
5191,Королек - птичка певчая,Решад Нури Гюнтекин,447,
5192,Время жить и время умирать,Эрих Ремарк,384,
5193,Над пропастью во ржи,Джером Сэлинджер,336,
5194,Процесс,Франц Кафка,320,
5195,Записки из Мертвого дома: Повесть,Федор Достоевский,384,
5196,Фиеста (И восходит солнце),Эрнест Миллер Хемингуэй,320,
5197,"Москва краснокаменная: Рассказы, фельетоны 20-х годов.",Михаил Булгаков,240,
5198,Дожить до рассвета : повести,Василь Быков,480,
5199,Весенний снег,Юкио Мисима,384,
5200,Над кукушкиным гнездом,Кен Кизи,352,
5201,Малое собрание сочинений,Корней Чуковский,640,
5202,,,528,
5203,Бег : Восемь снов : пьеса в пяти действиях,Михаил Булгаков,192,
5204,Заметки к ненаписанному роману,Джером Клапка Джером,320,
5205,Пошехонская старина,Михаил Салтыков-Щедрин,544,
5206,,,192,
5207,Жюстина. Преступления любви,Маркиз де Сад,512,
5208,Тропик Рака. Черная весна,Генри Миллер,608,
5209,Муравьи,Бернар Вербер,352,
5210,Граф Монте-Кристо. Том 1. Том 2 (комплект из 2 книг),Александр Дюма (отец),,
5211,Тевье-молочник: Повесть,Шолом-Алейхем,224,
5212,,,592,
5213,На мраморных утесах,Эрнст Юнгер,192,
5214,Завтрак у Тиффани,Трумэн Капоте,256,
5215,Гамлет,Уильям Шекспир,192,
5216,Малое собрание сочинений,Джордж Бернард Шоу,608,
5217,Анна Каренина (супер) (БВЛ) Толстой (896с.),Лев Толстой,896,
5218,Измышление одиночества,Пол Бенджамин Остер,288,
5219,Малое собрание сочинений,Льюис Кэрролл,672,
5220,Софичка: повести,Фазиль Искандер,448,
5221,Малое собрание сочинений,Александр Островский,640,
5222,Мой любимый sputnik,Харуки Мураками,320,
5223,Гоголь Н.В. Собрание сочинений в 3-х томах (комплект из 3-х книг),Николай Гоголь,2128,
5224,Вечера на хуторе близ Диканьки. Миргород. Повести,Николай Гоголь,432,
5225,По эту сторону рая: Роман,Френсис Скотт Фицджеральд,320,
5226,"Мы меняем души, не тела...",Николай Гумилев,384,
5227,Исповедь,Жан-Жак Руссо,768,
5228,Молль Флендерс,Даниэль Дефо,416,
5229,Белая гвардия: роман,Михаил Булгаков,352,
5230,И после многих весен,Олдос Леонард Хаксли,352,
5231,Жизнь и судьба: Роман.,Василий Гроссман,864,
5232,"Уолден, или жизнь в лесу",Генри Торо,544,
5233,Песнь моряка,Кен Кизи,512,
5234,Похождения бравого солдата Швейка: Том 1. Том 2 (комплект из 2 книг),Ярослав Гашек,800,
5235,Гринтаун. Мишурный город,Рэй Брэдбери,320,
5236,Песнь моряка. Роман,Кен Кизи,672,
5237,Война и мир.Кн.1,Лев Толстой,736,
5238,"Умри, несчастная! Театральные рассказы",Антон Чехов,288,
5239,"Прометей, или Жизнь Бальзака",Андре Моруа,704,
5240,Тетрадь кенгуру,Кобо Абэ,192,
5241,"Пассажир первого класса: рассказы, повести",Антон Чехов,352,
5242,Мастерская кукол,Элизабет Макнил,480,
5243,Гордость и предубеждение: роман,Джейн Остен,416,
5244,Вечерние новости,Артур Хейли,672,
5245,Вешние воды: повесть,Эрнест Миллер Хемингуэй,160,
5246,Аэропорт. На грани катастрофы,Артур Хейли,704,
5247,Зиска. Загадка злого духа,Мария Корелли,256,
5248,Дюжина ножей в спину революции,Аркадий Аверченко,352,
5249,Жизнь и необычайные приключения солдата Ивана Чонкина. Книга 3. Перемещенное лицо,Владимир Войнович,352,
5250,Время должно остановиться : роман,Олдос Леонард Хаксли,448,
5251,Гроза. Бесприданница: Пьесы,Александр Островский,192,
5252,Смятение чувств,Стефан Цвейг,320,
5253,Слепец в Газе,Олдос Леонард Хаксли,576,
5254,Из Африки,,384,
5255,А зори здесь тихие... Завтра была война: повести,Борис Васильев,320,
5256,Аэропорт. На грани катастрофы,Артур Хейли,704,
5257,Записки психопата,Виктор Ерофеев,256,
5258,Леди Макбет Мценского уезда. Очарованный странник,Николай Лесков,480,
5259,Вся королевская рать,Роберт Уоррен,608,
5260,"Дневник неудачника, или Секретная тетрадь",Эдуард Лимонов,160,
5261,Тихий Дон : роман-эпопея,Михаил Шолохов,1440,
5262,Зов предков. Белый Клык,Джек Лондон,384,
5263,Фрэнни и Зуи,Джером Сэлинджер,256,
5264,Процесс: роман,Франц Кафка,352,
5265,Консуэло. Графиня Рудольштадт,Жорж Санд,1504,
5266,Они сражались за Родину,Михаил Шолохов,320,
5267,Спящий просыпается,Герберт Уэллс,256,
5268,Тавро Кассандры,Чингиз Айтматов,320,
5269,Консуэло. В 2-х томах. Том 1. Том 2 (комплект из 2 книг),Жорж Санд,1152,
5270,Дама с собачкой,Антон Чехов,416,
5271,Обыкновенное чудо,Евгений Шварц,320,
5272,"Солнце и сталь: драмы, новелла, эссе",Юкио Мисима,288,
5273,Игрок (Из записок молодого человека),Федор Достоевский,192,
5274,Вишневый сад,Антон Чехов,416,
5275,Сандро из Чегема,Фазиль Искандер,479,
5276,От полудня до полуночи,Эрих Ремарк,320,
5277,Скотный двор,Джордж Оруэлл,256,
5278,"Виконт де Бражелон, или Еще десять лет спустя : роман. В 3 томах. Том 1",Александр Дюма (отец),608,
5279,Приключения Шерлока Холмса,Артур Дойл,544,
5280,Агнес Грей,Энн Бронте,256,
5281,Доводы рассудка,Джейн Остен,288,
5282,Стихотворения. Поэмы,Михаил Лермонтов,224,
5283,Финансист,Теодор Драйзер,736,
5284,,,,
5285,Путешествие налегке,Туве Янссон,384,
5286,Письма незнакомке,Андре Моруа,224,
5287,Прикосновение,Дэниел Киз,352,
5288,Недоросль. Горе от ума. Ревизор,Александр Грибоедов,272,
5289,Записки  юного врача,Михаил Булгаков,110,
5290,"Создатель: рассказы, стихотворения, интервью",Хорхе Борхес,240,
5291,Малое собрание сочинений.,Николай Гоголь,832,
5292,Малое собрание сочинений.,Александр Пушкин,768,
5293,Зойкина квартира: Пьесы.,Михаил Булгаков,304,
5294,,,480,
5295,Голоса летнего дня,Ирвин Шоу,384,
5296,Тени в раю,Эрих Ремарк,544,
5297,"Загадочная натура. Рассказы, фельетоны",Илья Ильф,432,
5298,Охотники на мамонтов. Поселок на озере,Сергей Покровский,352,
5299,Рембрандт : роман,Гледис Шмитт,736,
5300,Черный обелиск : роман,Эрих Ремарк,416,
5301,Графиня Рудольштадт: Роман,Жорж Санд,576,
5302,Преступление и наказание,Федор Достоевский,608,
5303,,,344,
5304,Фальшивомонетчики,Андре Жид,416,
5305,На берегах Невы,Ирина Одоевцева,512,
5306,Старший трубач полка,Томас Гарди,384,
5307,,,384,
5308,Над кукушкиным гнездом,Кен Кизи,384,
5309,Отцы и дети. Ася. Повести. Рассказы,Иван Тургенев,640,
5310,Тэсс из рода д`Эрбервиллей,Томас Гарди,480,
5311,Король в желтом,Роберт Чамберс,128,
5312,Капитан Фракасс,Теофиль Готье,608,
5313,Крейцерова соната: избранные произведения,Лев Толстой,416,
5314,Вдали от безумной толпы : роман,Томас Гарди,480,
5315,"Моби Дик, или Белый Кит",Герман Мелвилл,688,
5316,И всех их создал Бог,Джеймс Хэрриот,480,
5317,Крылья,Михаил Кузмин,280,
5318,,,480,
5319,Записки юного врача. Ранняя проза,Михаил Булгаков,320,
5320,Малое собрание сочинений,Морис Дрюон,480,
5321,Наследники,Уильям Голдинг,288,
5322,Шерлок Холмс при смерти,Артур Дойл,384,
5323,Сестра Керри. Дженни Герхардт. Рассказы,Теодор Драйзер,1152,
5324,1Q84. Тысяча Невестьсот Восемьдесят Четыре. Кн.1 : Апрель-июнь,Харуки Мураками,576,
5325,Сила и слава,Грэм Грин,,
5326,Дама с камелиями,Александр Дюма (сын),320,
5327,Счастливчики. 62. Модель для сборки,Хулио Кортасар,768,
5328,МЫ,Евгений Замятин,192,
5329,Шерли,Шарлотта Бронте,640,
5330,История Артура Трулава,Элизабет Берг,288,
5331,Вообрази себе картину,Джозеф Хеллер,320,
5332,Венера в мехах. Повести и рассказы,Леопольд фон Захер-Мазох,240,
5333,,,544,
5334,Мастер и Маргарита,Михаил Булгаков,620,
5335,Юрий Олеша. Малое собрание сочинений,Юрий Олеша,640,
5336,Над пропастью во ржи,Джером Сэлинджер,320,
5337,Время-не-ждет,Джек Лондон,416,
5338,Малое собрание сочинений,Уильям Сароян,640,
5339,Список желаний Бумера : роман,Сьюзан Петик,320,
5340,Собачьи годы: роман,Гюнтер Грасс,736,
5341,Мятеж на Эльсиноре,Джек Лондон,416,
5342,"Детективы от создателя жанра Уильяма Коллинза. ""Женщина в белом"". ""Лунный камень"" (комплект из 2-х книг)",Уильям Уилки Коллинз,,
5343,"Джейн Остен. Мысли в блокноте: ""Эмма"", Тематический блокнот (комплект из 2-х книг)",Джейн Остен,,
5344,Колымские рассказы,Варлам Шаламов,288,
5345,Москва и москвичи,Владимир Гиляровский,480,
5346,Анна Каренина,Лев Толстой,800,
5347,Собрание прозы в 4-х томах (к-т в футляре) (иллюстр. А. Флоренского),Сергей Довлатов,,
5348,,,256,
5349,Циники. Роман без вранья,Анатолий Мариенгоф,1152,
5350,Франкенштейн. Подлинная история знаменитого пари,Мэри Шелли,544,
5351,Любите ли вы Брамса?,Франсуаза Саган,176,
5352,Айвенго,Вальтер Скотт,608,
5353,,,640,
5354,Мидлмарч (комплект из 2 книг),Джордж Элиот,480,
5355,Приключения Шерлока Холмса. Том II,Артур Дойл,448,
5356,Я пришел дать вам волю. Любавины,Василий Шукшин,928,
5357,,,416,
5358,Автобиография Элис Би Токлас,Гертруда Стайн,352,
5359,Домой возврата нет,Томас Вулф,768,
5360,Блеск и нищета куртизанок : роман,Оноре де Бальзак,640,
5361,Унесенные ветром (комплект из 2 книг),Маргарет Митчелл,,
5362,Вечера на хуторе близ Диканьки,Николай Гоголь,312,
5363,Письмо незнакомки: новеллы,Стефан Цвейг,384,
5364,"Тартюф, или обманщик. Мещанин во дворянстве. Мнимый больной",Жан-Батист Мольер,352,
5365,"Как обманывать людей. Пособие для политиков, журналистов и карточных шулеров",Марк Твен,224,
5366,Милый друг. Новеллы,Ги де Мопассан,576,
5367,Милый друг: роман,Ги де Мопассан,400,
5368,Искра жизни,Эрих Ремарк,384,
5369,Кошкина пижама,Рэй Брэдбери,256,
5370,Мертвые души. Избранное. / Подарочное издание,Николай Гоголь,1152,
5371,Плоды земли. Роман,Кнут Гамсун,416,
5372,Бесы,Федор Достоевский,608,
5373,Александрийский квартет,Лоренс Даррелл,1088,
5374,Записки их подполья,Федор Достоевский,144,
5375,Как закалялась сталь,Николай Островский,448,
5376,Хендерсон - король дождя,Сол Беллоу,384,
5377,Я захватываю замок,Доди Смит,480,
5378,Полное собрание рассказов,Эрнест Миллер Хемингуэй,928,
5379,Преступление и наказание,Федор Достоевский,352,
5380,Прощай Берлин (мЭксКл) Ишервуд,,256,
5381,Морской волчонок,Томас Рид,288,
5382,,,1032,
5383,Смерть в душе,Жан Сартр,448,
5384,,,192,
5385,Золото,Дмитрий Мамин-Сибиряк,352,
5386,,,336,
5387,Уроки французского,Валентин Распутин,448,
5388,О чем плачут лошади: рассказы. Конь с розовой гривой: рассказы,Федор Абрамов,320,
5389,Лютый Зверь. Игра. Джон – Ячменное Зерно,Джек Лондон,384,
5390,Невидимые города,Итало Кальвино,224,
5391,Дом без хозяина,Генрих Белль,384,
5392,История одного города. Сказки,Михаил Салтыков-Щедрин,480,
5393,Скверный анекдот. Комические рассказы,Федор Достоевский,352,
5394,,,720,
5395,Открытое письмо молодому человеку о науке жить. Искусство беседы,Андре Моруа,224,
5396,Бильярд в половине десятого,Генрих Бёлль,480,
5397,Жизнь: роман. Новеллы: (пер. с фр.) / (Зарубежная классика). Мопассан Г. (АСТ),Ги де Мопассан,384,
5398,Страдания юного Вертера,,288,
5399,Тайна Эдвина Друда,Чарльз Диккенс,544,
5400,Шерли: роман,Шарлотта Бронте,544,
5401,Наши предки,Итало Кальвино,480,
5402,Прощание с Матерой. Деньги для Марии,Валентин Распутин,272,
5403,Чаепитие с Джейн Остен: Гордость и предубеждение. Эмма (комплект из 2 книг),Джейн Остен,896,
5404,Мэнсфилд-парк: Роман,Джейн Остен,512,
5405,,,320,
5406,Неразлучные,Симона де Бовуар,160,
5407,,,,
5408,"Спаси меня, вальс",Зельда Фицджеральд,352,
5409,Господа волонтеры: роман,Борис Васильев,640,
5410,Дворянское гнездо. Рудин : романы,Иван Тургенев,352,
5411,Территория слова,Габриэль Гарсиа Маркес,608,
5412,Процесс.Замок (16+),Франц Кафка,544,
5413,Путешествия Лемюэля Гулливера: Роман,Джонатан Свифт,416,
5414,Воскресение : [роман],Лев Толстой,480,
5415,Джейн Эйр,Шарлотта Бронте,448,
5416,,,128,
5417,,,288,
5418,,,128,
5419,Ангел Западного окна,Густав Майринк,544,
5420,Портрет Дориана Грея: Роман. Кентервильское привидение и другие истории: Рассказы,Оскар Уайльд,320,
5421,,,216,
5422,,,263,
5423,Безумие любви и смерти,Эдгар По,184,
5424,Ваш сын и брат,Василий Шукшин,480,
5425,В лесах (комплект из 2 книг),,,
5426,Звук и ярость,Уильям Фолкнер,352,
5427,,,624,
5428,,,288,
5429,"Дочь Ивана, мать Ивана",Валентин Распутин,480,
5430,По эту сторону рая,Френсис Скотт Фицджеральд,352,
5431,Я в порядке и ты тоже,Камилла Пэган,352,
5432,Мелочи жизни,Михаил Салтыков-Щедрин,480,
5433,Портрет Дориана Грея. Падение дома Ашеров,Оскар Уайльд,480,
5434,Ромео и Джульетта.Трагедия,Уильям Шекспир,160,
5435,,,352,
5436,Любовь Властелина.,Альбер Коэн,672,
5437,Казаки: Повесть,Лев Толстой,208,
5438,Два невероятных романа о мужском одиночестве: Мартин Иден. Великий Гэтсби (комплект из 2 книг),Френсис Скотт Фицджеральд,,
5439,Поединок: Повесть,Александр Куприн,288,
5440,Территория,Олег Куваев,320,
5441,"Праздник, который всегда с тобой",Эрнест Миллер Хемингуэй,288,
5442,Гордость и предубеждение,Джейн Остен,448,
5443,Шуаны,Оноре де Бальзак,480,
5444,Темная башня,Клайв Льюис,448,
5445,Великий Гэтсби. Ночь нежна,Френсис Скотт Фицджеральд,640,
5446,Страшные рассказы. Том 2,Эдгар По,204,
5447,Отцы и дети. Накануне,Иван Тургенев,352,
5448,Хорошие плохие книги : сборник,Джордж Оруэлл,416,
5449,Пробуждение: повесть,Кейт Шопен,262,
5450,Коллекционное издание т1/2тт (Хармс),Даниил Хармс,462,
5451,Адам Бид.,Джордж Элиот,640,
5452,Смех за левым плечом. Черные доски,Владимир Солоухин,464,
5453,Темные аллеи,Иван Бунин,352,
5454,,,288,
5455,Ромео и Джульетта,Уильям Шекспир,152,
5456,Короткие гудки,Виктория Токарева,240,
5457,Радость поутру. Брачный сезон. Не позвать ли нам Дживса?,,640,
5458,Последний магнат : роман,Френсис Скотт Фицджеральд,224,
5459,,,608,
5460,,,416,
5461,Мартин.МояКл.Грин.Алые паруса.Феерия.Бегущая по волнам,Александр Грин,256,
5462,Превращение,Франц Кафка,256,
5463,Королек - птичка певчая,Решад Нури Гюнтекин,447,
5464,Рыбья кровь,Франсуаза Саган,256,
5465,Пойди поставь сторожа,Харпер Ли,352,
5466,Унесенные ветром. Том II,Маргарет Митчелл,640,
5467,,,640,
5468,Вечера на хуторе близ Диканьки. Ревизор,Николай Гоголь,504,
5469,,,432,
5470,,,1312,
5471,,,384,
5472,,,315,
5473,,,,
5474,Недоросль. Комедия в пяти действиях,Денис Фонвизин,96,
5475,День саранчи. Подруга скорбящих: повести,Натанаэл Уэст,256,
5476,Маленькие женщины,Луиза Мэй Олкотт,416,
5477,"Самые известные произведения Дж. Лондона: Мартин Иден, Любовь к жизни (комплект из 2-х книг)",Джек Лондон,,
5478,"Исповедь англичанина, употреблявшего опиум",Томас де Квинси,132,
5479,Дни Турбиных : пьеса. Красная корона : проза 1918-1920-х годов,Михаил Булгаков,224,
5480,Петербургские повести. Сборник,Николай Гоголь,384,
5481,Петербург,Андрей Белый,576,
5482,Графиня Солсбери. Эдуард III,Александр Дюма (отец),512,
5483,Униженные и оскорбленные,Федор Достоевский,512,
5484,Княгиня Монако. Том 1,Александр Дюма (отец),448,
5485,Княгиня Монако. Том 2,Александр Дюма (отец),400,
5486,"Там, внизу, или Бездна",Жорис Карл Гюисманс,366,
5487,История о пропавшем ребенке. Моя гениальная подруга. Книга 4. Зрелость Старость,Элена Ферранте,512,
5488,,,448,
5489,Найдите Ребекку,Оуэн Дэмпси,320,
5490,Игра в классики,Хулио Кортасар,480,
5491,"Выше стропила, плотники. Симор - введение",Джером Сэлинджер,256,
5492,Призрак Оперы,Гастон Леру,320,
5493,,,352,
5494,"Короли и капуста: повесть, рассказы",О. Генри,416,
5495,"Рукопись, найденная в Сарагосе: Роман",Ян Потоцкий,736,
5496,Морской волк,Джек Лондон,640,
5497,"Моби Дик, или Белый кит: роман",Герман Мелвилл,640,
5498,Шерли: роман,Шарлотта Бронте,540,
5499,,,,
5500,,,352,
5501,Север и юг,Элизабет Гаскелл,576,
5502,Лавка древностей,Чарльз Диккенс,544,
5503,Фиеста,Эрнест Миллер Хемингуэй,288,
5504,Таинственный портрет,Вашингтон Ирвинг,288,
5505,Граф Монте-Кристо. Книга 1,Александр Дюма (отец),608,
5506,В краю лесов: роман,Томас Гарди,416,
5507,"Там, в гостях",Кристофер Ишервуд,320,
5508,Унесенные ветром. Том 1,Маргарет Митчелл,672,
5509,Застенчивость в квадрате,Сара Хогл,320,
5510,,,656,
5511,,,485,
5512,,,640,
5513,Первая любовь,Иван Тургенев,288,
5514,Собака Баскервилей,Артур Дойл,224,
5515,Тартарен из Тараскона: Романы,Альфонс Доде,448,
5516,Изгнанники. Пьеса в трех актах,Джеймс Джойс,129,
5517,Обломов,Иван Гончаров,480,
5518,,,704,
5519,На западном фронте без перемен,Эрих Ремарк,368,
5520,"Прошу, найди маму",Син Гёнсук,288,
5521,Робин Гуд,Александр Дюма (отец),544,
5522,Граф Монте-Кристо,Александр Дюма (отец),1088,
5523,Граф Монте-Кристо,Александр Дюма (отец),1264,
5524,Записки юного врача. Морфий. Рассказы,Михаил Булгаков,128,
5525,Золотая Чаша,Джон Стейнбек,288,
5526,Нова Экспресс,Уильям Сьюард Берроуз,224,
5527,Пташка,Уильям Уортон,384,
5528,Таланты и поклонники,Александр Островский,384,
