,name,author,numberOfPages,price
356,Любовник леди Чаттерли,Дэвид Лоуренс,384,600 ₽
357,Отверженные. Том 1 (роман в 2-х томах),Виктор Мари Гюго,992,248 ₽
358,Преступление и наказание. Идиот : романы,Федор Достоевский,1120,889 ₽
359,Котлован,Андрей Платонов,192,165 ₽
360,"1984. Скотный двор: роман, повесть",Джордж Оруэлл,384,184 ₽
361,Говард Лавкрафт. Большое собрание сочинений в одном томе,Говард Филлипс Лавкрафт,976,1 050 ₽
362,История одного города,Михаил Салтыков-Щедрин,320,165 ₽
363,"Богач, бедняк",Ирвин Шоу,768,293 ₽
364,,,256,240 ₽
365,Дневник провинциала в Петербурге,Михаил Салтыков-Щедрин,512,359 ₽
366,Вечера на хуторе близ Диканьки. Миргород. Петербургские повести  (с иллюстр.),Николай Гоголь,736,790 ₽
367,"Дело, которому ты служишь. Дорогой мой человек",Юрий Герман,896,977 ₽
368,Гений и богиня,Олдос Леонард Хаксли,160,198 ₽
369,Видит Бог,Джозеф Хеллер,448,518 ₽
370,Доводы рассудка,Джейн Остен,320,165 ₽
371,Джейн Эйр,Шарлотта Бронте,544,210 ₽
372,А зори здесь тихие...: сборник,Борис Васильев,384,189 ₽
373,Замок. Превращение. Процесс. Полное собрание сочинений,Франц Кафка,1088,977 ₽
374,"Уолден, или Жизнь в лесу",Генри Торо,352,198 ₽
375,Невыносимая легкость бытия,Милан Кундера,320,559 ₽
376,Триумфальная арка,Эрих Ремарк,512,578 ₽
377,Норвежский лес : роман,Харуки Мураками,384,284 ₽
378,Три товарища,Эрих Ремарк,480,556 ₽
379,К востоку от Эдема,Джон Стейнбек,768,594 ₽
380,Трактир «Ямайка»: роман,Дафна дю Морье,384,599 ₽
381,Бремя страстей человеческих,Уильям Сомерсет Моэм,704,632 ₽
382,Эмма,Джейн Остен,512,224 ₽
383,Малахитовая шкатулка : Уральские сказы. Уральские были. Повести,Павел Бажов,768,808 ₽
384,Преступление и наказание,Федор Достоевский,672,193 ₽
385,Чувство и чувствительность,Джейн Остен,384,189 ₽
386,Архипелаг ГУЛАГ,Александр Солженицын,1424,1 357 ₽
387,Собор Парижской Богоматери,Виктор Мари Гюго,576,240 ₽
388,Бесы: роман,Федор Достоевский,704,184 ₽
389,Герой нашего времени,Михаил Лермонтов,224,226 ₽
390,Повелитель мух,Уильям Голдинг,320,427 ₽
391,Путешествие к центру Земли,Жюль Габриэль Верн,288,173 ₽
392,Бесы,Федор Достоевский,608,248 ₽
393,Маленькая принцесса,Фрэнсис Ходжсон Бернетт,288,173 ₽
394,На маяк,Вирджиния Вулф,288,173 ₽
395,"Ада, или Отрада",Владимир Набоков,800,945 ₽
396,Дракула,Брэм Стокер,416,210 ₽
397,Берега. Роман о семействе Дюморье,Дафна дю Морье,352,599 ₽
398,Маг,Уильям Сомерсет Моэм,288,248 ₽
399,На дороге,Джек Керуак,416,264 ₽
400,Повелитель мух. Наследники,Уильям Голдинг,384,248 ₽
401,Братья Карамазовы: роман,Федор Достоевский,832,184 ₽
402,Отверженные. Том 2 (роман в 2-х томах),Виктор Мари Гюго,800,248 ₽
403,Холм грез. Тайная слава: романы,Артур Мейчен,480,190 ₽
404,"Моби Дик, или Белый Кит",Герман Мелвилл,960,977 ₽
405,Нетерпение сердца : роман,Стефан Цвейг,448,206 ₽
406,Очарованный странник,Николай Лесков,320,165 ₽
407,Цитадель : роман,Арчибальд Кронин,512,248 ₽
408,Тихий Дон (комплект из 2 книг),Михаил Шолохов,1728,562 ₽
409,Падение,Альбер Камю,160,216 ₽
410,Север и Юг: Романы,Элизабет Гаскелл,672,779 ₽
411,Титан,Теодор Драйзер,576,184 ₽
412,Море изобилия. Тетралогия,Юкио Мисима,1088,1 223 ₽
